flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,duration,avg_packet_size,direction,label
F_05202,10.0.173.170,10.0.94.221,5031,80,UDP,97,24056,7.88,248.0,Inbound,Benign
F_06446,10.0.103.182,10.0.168.120,23035,53,UDP,66,86823,9.1,1315.5,Outbound,Botnet
F_03452,10.0.141.178,10.0.50.202,11953,8080,UDP,73,88156,3.11,1207.62,Inbound,Benign
F_06197,10.0.233.210,10.0.110.172,55081,21,TCP,66,14758,6.15,223.61,Inbound,Botnet
F_05400,10.0.221.108,10.0.11.50,38972,443,TCP,13,34762,8.23,2674.0,Inbound,DDoS
F_03680,10.0.250.17,10.0.209.98,5997,3306,TCP,40,64935,7.06,1623.38,Inbound,Botnet
F_05645,10.0.111.212,10.0.174.84,56581,22,UDP,51,66956,5.04,1312.86,Outbound,Benign
F_02772,10.0.49.11,10.0.178.253,29087,8080,UDP,30,12110,6.37,403.67,Outbound,Benign
F_01828,10.0.225.11,10.0.84.88,60831,3306,UDP,89,2666,6.6,29.96,Inbound,Benign
F_01374,10.0.129.231,10.0.245.192,52394,8080,UDP,96,72424,8.63,754.42,Outbound,Benign
F_05070,10.0.86.221,10.0.25.223,10989,21,UDP,13,59487,3.13,4575.92,Inbound,Infiltration
F_07883,10.0.139.95,10.0.248.232,56018,53,TCP,89,12907,6.53,145.02,Outbound,Benign
F_03974,10.0.123.125,10.0.236.38,28781,80,TCP,5,32965,3.9,6593.0,Outbound,Benign
F_02959,10.0.31.96,10.0.85.251,32194,80,TCP,17,19079,4.66,1122.29,Inbound,Benign
F_03482,10.0.180.215,10.0.91.82,9483,80,TCP,82,40495,5.89,493.84,Outbound,DDoS
F_02440,10.0.173.127,10.0.181.16,40899,8080,UDP,54,97755,9.55,1810.28,Outbound,Benign
F_05633,10.0.73.170,10.0.119.216,3828,3306,UDP,36,80026,6.1,2222.94,Inbound,Benign
F_07357,10.0.125.238,10.0.32.24,26193,53,UDP,31,6817,9.29,219.9,Inbound,PortScan
F_04267,10.0.7.253,10.0.77.112,31469,21,TCP,59,8579,1.86,145.41,Inbound,Benign
F_05493,10.0.78.252,10.0.12.162,43366,3306,UDP,34,54982,4.75,1617.12,Inbound,Botnet
F_02724,10.0.55.96,10.0.33.6,40370,80,UDP,46,53924,3.01,1172.26,Inbound,Benign
F_02589,10.0.247.98,10.0.94.146,40877,8080,TCP,46,78972,5.83,1716.78,Inbound,Benign
F_08224,10.0.158.108,10.0.171.109,42606,80,TCP,93,50432,1.84,542.28,Outbound,DDoS
